Date,Market,Open,Jodi,Close,Jodis,Pattis
23/05/2021,Time Bazar,590,41.0,236,,
24/05/2021,Time Bazar,789,43.0,148,,
25/05/2021,Time Bazar,146,14.0,338,,
26/05/2021,Time Bazar,149,46.0,330,,
27/05/2021,Time Bazar,239,41.0,236,,
28/05/2021,Time Bazar,800,80.0,136,,
29/05/2021,Time Bazar,379,94.0,130,,
30/05/2021,Time Bazar,124,79.0,450,,
31/05/2021,Time Bazar,128,19.0,225,,
01/06/2021,Time Bazar,780,51.0,245,,
02/06/2021,Time Bazar,158,45.0,140,,
03/06/2021,Time Bazar,480,25.0,159,,
04/06/2021,Time Bazar,129,22.0,246,,
05/06/2021,Time Bazar,278,76.0,150,,
06/06/2021,Time Bazar,130,45.0,267,,
07/06/2021,Time Bazar,379,99.0,450,,
08/06/2021,Time Bazar,369,86.0,367,,
09/06/2021,Time Bazar,470,13.0,120,,
10/06/2021,Time Bazar,379,99.0,478,,
11/06/2021,Time Bazar,130,47.0,250,,
12/06/2021,Time Bazar,158,40.0,280,,
13/06/2021,Time Bazar,125,81.0,146,,
14/06/2021,Time Bazar,236,11.0,236,,
15/06/2021,Time Bazar,125,81.0,380,,
16/06/2021,Time Bazar,679,22.0,345,,
17/06/2021,Time Bazar,477,84.0,167,,
18/06/2021,Time Bazar,167,48.0,125,,
19/06/2021,Time Bazar,469,94.0,220,,
20/06/2021,Time Bazar,357,55.0,258,,
21/06/2021,Time Bazar,334,6.0,466,,
22/06/2021,Time Bazar,688,23.0,445,,
23/06/2021,Time Bazar,470,10.0,677,,
24/06/2021,Time Bazar,358,61.0,560,,
25/06/2021,Time Bazar,488,9.0,559,,
26/06/2021,Time Bazar,367,64.0,446,,
27/06/2021,Time Bazar,358,61.0,128,,
28/06/2021,Time Bazar,258,55.0,177,,
29/06/2021,Time Bazar,450,99.0,360,,
30/06/2021,Time Bazar,557,72.0,390,,
01/07/2021,Time Bazar,120,39.0,180,,
02/07/2021,Time Bazar,580,36.0,358,,
03/07/2021,Time Bazar,156,25.0,267,,
04/07/2021,Time Bazar,390,25.0,159,,
05/07/2021,Time Bazar,280,7.0,115,,
06/07/2021,Time Bazar,122,56.0,367,,
07/07/2021,Time Bazar,278,76.0,259,,
08/07/2021,Time Bazar,389,1.0,560,,
09/07/2021,Time Bazar,445,39.0,135,,
10/07/2021,Time Bazar,689,32.0,660,,
11/07/2021,Time Bazar,234,90.0,235,,
12/07/2021,Time Bazar,470,16.0,150,,
13/07/2021,Time Bazar,180,92.0,660,,
14/07/2021,Time Bazar,116,89.0,360,,
15/07/2021,Time Bazar,167,44.0,149,,
16/07/2021,Time Bazar,179,71.0,678,,
17/07/2021,Time Bazar,368,71.0,128,,
18/07/2021,Time Bazar,690,57.0,377,,
19/07/2021,Time Bazar,490,37.0,340,,
20/07/2021,Time Bazar,145,5.0,249,,
21/07/2021,Time Bazar,344,18.0,369,,
22/07/2021,Time Bazar,125,81.0,128,,
23/07/2021,Time Bazar,379,97.0,890,,
24/07/2021,Time Bazar,229,36.0,358,,
25/07/2021,Time Bazar,113,54.0,220,,
26/07/2021,Time Bazar,188,75.0,357,,
27/07/2021,Time Bazar,690,52.0,129,,
28/07/2021,Time Bazar,599,33.0,580,,
29/07/2021,Time Bazar,359,70.0,370,,
30/07/2021,Time Bazar,349,64.0,446,,
31/07/2021,Time Bazar,668,0.0,244,,
01/08/2021,Time Bazar,470,18.0,990,,
02/08/2021,Time Bazar,688,20.0,145,,
03/08/2021,Time Bazar,146,14.0,112,,
04/08/2021,Time Bazar,125,82.0,570,,
05/08/2021,Time Bazar,790,62.0,589,,
06/08/2021,Time Bazar,990,82.0,255,,
07/08/2021,Time Bazar,349,68.0,170,,
08/08/2021,Time Bazar,260,80.0,136,,
09/08/2021,Time Bazar,389,7.0,458,,
10/08/2021,Time Bazar,236,18.0,350,,
11/08/2021,Time Bazar,449,78.0,260,,
12/08/2021,Time Bazar,134,86.0,880,,
13/08/2021,Time Bazar,568,92.0,147,,
14/08/2021,Time Bazar,129,24.0,347,,
16/08/2021,Time Bazar,567,81.0,290,,
17/08/2021,Time Bazar,258,56.0,259,,
18/08/2021,Time Bazar,567,89.0,225,,
19/08/2021,Time Bazar,900,94.0,680,,
20/08/2021,Time Bazar,347,48.0,369,,
21/08/2021,Time Bazar,137,10.0,569,,
23/08/2021,Time Bazar,245,17.0,340,,
24/08/2021,Time Bazar,168,55.0,456,,
25/08/2021,Time Bazar,178,62.0,228,,
26/08/2021,Time Bazar,579,17.0,340,,
27/08/2021,Time Bazar,147,29.0,900,,
28/08/2021,Time Bazar,688,23.0,157,,
29/08/2021,Time Bazar,378,80.0,136,,
30/08/2021,Time Bazar,469,99.0,577,,
31/08/2021,Time Bazar,114,66.0,448,,
01/09/2021,Time Bazar,459,82.0,679,,
02/09/2021,Time Bazar,255,27.0,566,,
03/09/2021,Time Bazar,128,12.0,688,,
04/09/2021,Time Bazar,680,47.0,449,,
05/09/2021,Time Bazar,148,31.0,236,,
06/09/2021,Time Bazar,670,32.0,679,,
07/09/2021,Time Bazar,480,21.0,344,,
08/09/2021,Time Bazar,340,74.0,347,,
09/09/2021,Time Bazar,340,78.0,260,,
10/09/2021,Time Bazar,159,53.0,355,,
13/09/2021,Time Bazar,447,51.0,290,,
14/09/2021,Time Bazar,370,4.0,257,,
15/09/2021,Time Bazar,890,72.0,480,,
16/09/2021,Time Bazar,260,89.0,568,,
17/09/2021,Time Bazar,289,96.0,123,,
18/09/2021,Time Bazar,356,40.0,389,,
20/09/2021,Time Bazar,126,94.0,239,,
21/09/2021,Time Bazar,356,43.0,670,,
22/09/2021,Time Bazar,280,0.0,145,,
23/09/2021,Time Bazar,150,61.0,489,,
24/09/2021,Time Bazar,249,55.0,159,,
25/09/2021,Time Bazar,250,75.0,258,,
26/09/2021,Time Bazar,136,1.0,489,,
27/09/2021,Time Bazar,239,48.0,134,,
28/09/2021,Time Bazar,468,86.0,457,,
29/09/2021,Time Bazar,347,40.0,136,,
30/09/2021,Time Bazar,355,34.0,455,,
01/10/2021,Time Bazar,249,58.0,134,,
02/10/2021,Time Bazar,139,39.0,568,,
03/10/2021,Time Bazar,138,23.0,490,,
04/10/2021,Time Bazar,880,60.0,389,,
05/10/2021,Time Bazar,123,63.0,238,,
06/10/2021,Time Bazar,180,96.0,367,,
07/10/2021,Time Bazar,120,35.0,113,,
08/10/2021,Time Bazar,345,26.0,790,,
09/10/2021,Time Bazar,136,0.0,677,,
10/10/2021,Time Bazar,289,92.0,345,,
11/10/2021,Time Bazar,457,63.0,355,,
12/10/2021,Time Bazar,679,29.0,568,,
13/10/2021,Time Bazar,126,95.0,159,,
14/10/2021,Time Bazar,139,38.0,378,,
15/10/2021,Time Bazar,899,68.0,440,,
16/10/2021,Time Bazar,560,12.0,336,,
17/10/2021,Time Bazar,450,94.0,248,,
18/10/2021,Time Bazar,278,77.0,278,,
19/10/2021,Time Bazar,570,23.0,580,,
20/10/2021,Time Bazar,340,71.0,560,,
21/10/2021,Time Bazar,469,99.0,568,,
22/10/2021,Time Bazar,168,57.0,124,,
23/10/2021,Time Bazar,478,98.0,134,,
24/10/2021,Time Bazar,368,70.0,460,,
25/10/2021,Time Bazar,899,62.0,499,,
26/10/2021,Time Bazar,790,60.0,334,,
27/10/2021,Time Bazar,113,59.0,135,,
28/10/2021,Time Bazar,266,41.0,290,,
29/10/2021,Time Bazar,790,65.0,357,,
30/10/2021,Time Bazar,279,83.0,670,,
09/11/2021,Time Bazar,347,43.0,580,,
10/11/2021,Time Bazar,127,7.0,188,,
11/11/2021,Time Bazar,226,9.0,270,,
12/11/2021,Time Bazar,268,62.0,255,,
13/11/2021,Time Bazar,270,91.0,399,,
14/11/2021,Time Bazar,268,62.0,390,,
15/11/2021,Time Bazar,290,12.0,156,,
16/11/2021,Time Bazar,240,61.0,146,,
17/11/2021,Time Bazar,670,33.0,139,,
18/11/2021,Time Bazar,460,0.0,460,,
19/11/2021,Time Bazar,478,98.0,125,,
20/11/2021,Time Bazar,780,57.0,377,,
21/11/2021,Time Bazar,135,93.0,238,,
22/11/2021,Time Bazar,670,35.0,799,,
23/11/2021,Time Bazar,114,62.0,390,,
24/11/2021,Time Bazar,677,3.0,355,,
25/11/2021,Time Bazar,139,31.0,137,,
26/11/2021,Time Bazar,389,3.0,580,,
27/11/2021,Time Bazar,257,41.0,236,,
28/11/2021,Time Bazar,357,54.0,130,,
29/11/2021,Time Bazar,388,98.0,116,,
30/11/2021,Time Bazar,560,19.0,559,,
01/12/2021,Time Bazar,370,1.0,290,,
02/12/2021,Time Bazar,344,16.0,150,,
03/12/2021,Time Bazar,336,26.0,448,,
04/12/2021,Time Bazar,590,49.0,667,,
05/12/2021,Time Bazar,789,41.0,579,,
06/12/2021,Time Bazar,239,42.0,147,,
07/12/2021,Time Bazar,990,88.0,567,,
08/12/2021,Time Bazar,280,6.0,123,,
09/12/2021,Time Bazar,356,48.0,260,,
10/12/2021,Time Bazar,890,73.0,670,,
11/12/2021,Time Bazar,277,66.0,466,,
12/12/2021,Time Bazar,367,64.0,257,,
13/12/2021,Time Bazar,125,89.0,135,,
14/12/2021,Time Bazar,123,65.0,500,,
15/12/2021,Time Bazar,127,0.0,370,,
16/12/2021,Time Bazar,370,4.0,356,,
17/12/2021,Time Bazar,250,75.0,159,,
18/12/2021,Time Bazar,790,67.0,124,,
19/12/2021,Time Bazar,259,61.0,489,,
20/12/2021,Time Bazar,689,38.0,288,,
21/12/2021,Time Bazar,468,83.0,157,,
22/12/2021,Time Bazar,356,41.0,290,,
23/12/2021,Time Bazar,279,87.0,188,,
24/12/2021,Time Bazar,379,96.0,259,,
25/12/2021,Time Bazar,129,27.0,890,,
26/12/2021,Time Bazar,156,25.0,799,,
27/12/2021,Time Bazar,169,61.0,489,,
28/12/2021,Time Bazar,110,26.0,277,,
29/12/2021,Time Bazar,238,30.0,299,,
30/12/2021,Time Bazar,499,23.0,670,,
31/12/2021,Time Bazar,119,16.0,880,,
01/01/2022,Time Bazar,188,72.0,129,,
02/01/2022,Time Bazar,239,44.0,257,,
03/01/2022,Time Bazar,150,60.0,334,,
04/01/2022,Time Bazar,150,65.0,249,,
05/01/2022,Time Bazar,478,97.0,467,,
06/01/2022,Time Bazar,578,0.0,389,,
07/01/2022,Time Bazar,456,59.0,234,,
08/01/2022,Time Bazar,567,87.0,368,,
09/01/2022,Time Bazar,459,82.0,255,,
10/01/2022,Time Bazar,235,8.0,468,,
11/01/2022,Time Bazar,146,19.0,270,,
12/01/2022,Time Bazar,467,70.0,145,,
13/01/2022,Time Bazar,238,34.0,590,,
14/01/2022,Time Bazar,335,11.0,335,,
15/01/2022,Time Bazar,227,19.0,667,,
16/01/2022,Time Bazar,248,40.0,226,,
17/01/2022,Time Bazar,468,85.0,230,,
18/01/2022,Time Bazar,238,31.0,119,,
19/01/2022,Time Bazar,137,18.0,350,,
21/01/2022,Time Bazar,790,60.0,235,,
22/01/2022,Time Bazar,239,44.0,112,,
23/01/2022,Time Bazar,369,89.0,225,,
24/01/2022,Time Bazar,455,42.0,129,,
25/01/2022,Time Bazar,115,79.0,577,,
27/01/2022,Time Bazar,580,36.0,259,,
28/01/2022,Time Bazar,257,45.0,168,,
29/01/2022,Time Bazar,226,1.0,100,,
30/01/2022,Time Bazar,234,93.0,256,,
31/01/2022,Time Bazar,247,30.0,127,,
01/02/2022,Time Bazar,566,78.0,279,,
02/02/2022,Time Bazar,279,84.0,239,,
03/02/2022,Time Bazar,468,87.0,700,,
04/02/2022,Time Bazar,340,76.0,240,,
07/02/2022,Time Bazar,358,65.0,780,,
08/02/2022,Time Bazar,158,48.0,369,,
09/02/2022,Time Bazar,333,91.0,380,,
10/02/2022,Time Bazar,699,40.0,299,,
11/02/2022,Time Bazar,245,17.0,124,,
12/02/2022,Time Bazar,388,92.0,589,,
14/02/2022,Time Bazar,124,73.0,166,,
15/02/2022,Time Bazar,480,28.0,567,,
16/02/2022,Time Bazar,230,54.0,257,,
17/02/2022,Time Bazar,670,31.0,669,,
18/02/2022,Time Bazar,166,38.0,567,,
19/02/2022,Time Bazar,238,39.0,225,,
21/02/2022,Time Bazar,269,70.0,569,,
22/02/2022,Time Bazar,124,72.0,660,,
23/02/2022,Time Bazar,134,80.0,136,,
24/02/2022,Time Bazar,168,56.0,150,,
25/02/2022,Time Bazar,578,5.0,690,,
26/02/2022,Time Bazar,456,50.0,235,,
28/02/2022,Time Bazar,590,47.0,340,,
01/03/2022,Time Bazar,135,94.0,356,,
02/03/2022,Time Bazar,134,86.0,899,,
03/03/2022,Time Bazar,139,30.0,550,,
04/03/2022,Time Bazar,579,19.0,234,,
05/03/2022,Time Bazar,247,31.0,128,,
07/03/2022,Time Bazar,149,49.0,270,,
08/03/2022,Time Bazar,240,67.0,188,,
09/03/2022,Time Bazar,245,17.0,250,,
10/03/2022,Time Bazar,478,91.0,470,,
11/03/2022,Time Bazar,245,13.0,788,,
12/03/2022,Time Bazar,466,64.0,149,,
14/03/2022,Time Bazar,789,41.0,669,,
15/03/2022,Time Bazar,257,41.0,245,,
16/03/2022,Time Bazar,560,15.0,889,,
17/03/2022,Time Bazar,389,8.0,279,,
19/03/2022,Time Bazar,130,45.0,159,,
21/03/2022,Time Bazar,270,91.0,245,,
22/03/2022,Time Bazar,140,54.0,167,,
23/03/2022,Time Bazar,179,79.0,270,,
24/03/2022,Time Bazar,234,98.0,170,,
25/03/2022,Time Bazar,150,62.0,345,,
26/03/2022,Time Bazar,357,59.0,126,,
28/03/2022,Time Bazar,224,88.0,279,,
29/03/2022,Time Bazar,467,72.0,200,,
30/03/2022,Time Bazar,669,17.0,133,,
31/03/2022,Time Bazar,445,31.0,290,,
01/04/2022,Time Bazar,599,36.0,114,,
02/04/2022,Time Bazar,167,46.0,240,,
04/04/2022,Time Bazar,277,65.0,348,,
05/04/2022,Time Bazar,670,30.0,244,,
06/04/2022,Time Bazar,590,44.0,789,,
07/04/2022,Time Bazar,347,45.0,780,,
08/04/2022,Time Bazar,668,8.0,288,,
09/04/2022,Time Bazar,127,4.0,400,,
11/04/2022,Time Bazar,249,57.0,467,,
12/04/2022,Time Bazar,569,9.0,289,,
13/04/2022,Time Bazar,188,74.0,789,,
14/04/2022,Time Bazar,269,70.0,578,,
15/04/2022,Time Bazar,123,65.0,357,,
16/04/2022,Time Bazar,470,16.0,268,,
18/04/2022,Time Bazar,457,65.0,140,,
19/04/2022,Time Bazar,478,97.0,115,,
20/04/2022,Time Bazar,127,5.0,159,,
21/04/2022,Time Bazar,260,82.0,778,,
22/04/2022,Time Bazar,669,11.0,137,,
23/04/2022,Time Bazar,257,43.0,148,,
25/04/2022,Time Bazar,113,55.0,690,,
26/04/2022,Time Bazar,567,81.0,380,,
27/04/2022,Time Bazar,345,29.0,225,,
28/04/2022,Time Bazar,470,16.0,349,,
29/04/2022,Time Bazar,125,87.0,467,,
30/04/2022,Time Bazar,400,41.0,380,,
02/05/2022,Time Bazar,460,8.0,260,,
03/05/2022,Time Bazar,578,9.0,478,,
04/05/2022,Time Bazar,557,77.0,179,,
05/05/2022,Time Bazar,330,60.0,370,,
06/05/2022,Time Bazar,138,21.0,489,,
07/05/2022,Time Bazar,128,19.0,126,,
09/05/2022,Time Bazar,579,11.0,560,,
10/05/2022,Time Bazar,239,45.0,780,,
12/05/2022,Time Bazar,113,50.0,145,,
13/05/2022,Time Bazar,180,98.0,170,,
14/05/2022,Time Bazar,478,95.0,500,,
16/05/2022,Time Bazar,249,55.0,348,,
17/05/2022,Time Bazar,269,74.0,347,,
18/05/2022,Time Bazar,280,8.0,558,,
19/05/2022,Time Bazar,349,64.0,149,,
20/05/2022,Time Bazar,377,79.0,388,,
21/05/2022,Time Bazar,460,7.0,278,,
23/05/2022,Time Bazar,459,81.0,380,,
24/05/2022,Time Bazar,100,16.0,150,,
25/05/2022,Time Bazar,790,60.0,145,,
26/05/2022,Time Bazar,446,46.0,123,,
27/05/2022,Time Bazar,557,72.0,147,,
28/05/2022,Time Bazar,339,57.0,115,,
30/05/2022,Time Bazar,136,5.0,159,,
31/05/2022,Time Bazar,347,46.0,349,,
01/06/2022,Time Bazar,270,91.0,146,,
02/06/2022,Time Bazar,457,66.0,123,,
03/06/2022,Time Bazar,240,68.0,558,,
04/06/2022,Time Bazar,688,21.0,290,,
06/06/2022,Time Bazar,345,28.0,125,,
07/06/2022,Time Bazar,244,0.0,145,,
08/06/2022,Time Bazar,225,94.0,400,,
09/06/2022,Time Bazar,800,88.0,170,,
10/06/2022,Time Bazar,266,42.0,589,,
11/06/2022,Time Bazar,600,64.0,130,,
13/06/2022,Time Bazar,690,57.0,160,,
14/06/2022,Time Bazar,288,85.0,249,,
15/06/2022,Time Bazar,260,80.0,370,,
16/06/2022,Time Bazar,668,8.0,567,,
17/06/2022,Time Bazar,128,19.0,135,,
18/06/2022,Time Bazar,167,47.0,278,,
20/06/2022,Time Bazar,458,72.0,688,,
21/06/2022,Time Bazar,133,72.0,480,,
22/06/2022,Time Bazar,790,63.0,779,,
23/06/2022,Time Bazar,568,98.0,279,,
24/06/2022,Time Bazar,290,15.0,500,,
25/06/2022,Time Bazar,233,84.0,347,,
27/06/2022,Time Bazar,170,86.0,259,,
28/06/2022,Time Bazar,459,88.0,260,,
29/06/2022,Time Bazar,466,60.0,578,,
30/06/2022,Time Bazar,578,9.0,900,,
01/07/2022,Time Bazar,778,25.0,339,,
02/07/2022,Time Bazar,340,70.0,677,,
04/07/2022,Time Bazar,249,51.0,380,,
05/07/2022,Time Bazar,667,92.0,390,,
06/07/2022,Time Bazar,345,24.0,356,,
07/07/2022,Time Bazar,249,53.0,247,,
08/07/2022,Time Bazar,145,1.0,128,,
09/07/2022,Time Bazar,390,29.0,234,,
11/07/2022,Time Bazar,117,95.0,249,,
12/07/2022,Time Bazar,349,62.0,129,,
13/07/2022,Time Bazar,480,26.0,367,,
14/07/2022,Time Bazar,199,92.0,246,,
15/07/2022,Time Bazar,136,7.0,160,,
16/07/2022,Time Bazar,457,62.0,336,,
18/07/2022,Time Bazar,112,43.0,247,,
19/07/2022,Time Bazar,137,10.0,145,,
20/07/2022,Time Bazar,799,53.0,445,,
21/07/2022,Time Bazar,378,87.0,368,,
22/07/2022,Time Bazar,370,2.0,480,,
23/07/2022,Time Bazar,567,88.0,558,,
25/07/2022,Time Bazar,347,43.0,355,,
26/07/2022,Time Bazar,569,9.0,360,,
27/07/2022,Time Bazar,688,28.0,558,,
28/07/2022,Time Bazar,240,67.0,566,,
29/07/2022,Time Bazar,369,89.0,270,,
30/07/2022,Time Bazar,469,93.0,139,,
01/08/2022,Time Bazar,145,8.0,170,,
02/08/2022,Time Bazar,169,63.0,788,,
03/08/2022,Time Bazar,360,91.0,128,,
04/08/2022,Time Bazar,679,28.0,477,,
05/08/2022,Time Bazar,480,20.0,569,,
06/08/2022,Time Bazar,447,55.0,230,,
08/08/2022,Time Bazar,560,13.0,689,,
09/08/2022,Time Bazar,457,61.0,399,,
10/08/2022,Time Bazar,267,55.0,447,,
11/08/2022,Time Bazar,236,18.0,170,,
12/08/2022,Time Bazar,234,99.0,225,,
13/08/2022,Time Bazar,568,91.0,119,,
16/08/2022,Time Bazar,459,83.0,247,,
17/08/2022,Time Bazar,467,74.0,347,,
18/08/2022,Time Bazar,133,79.0,450,,
19/08/2022,Time Bazar,890,78.0,459,,
20/08/2022,Time Bazar,113,56.0,556,,
22/08/2022,Time Bazar,139,38.0,800,,
23/08/2022,Time Bazar,224,84.0,446,,
24/08/2022,Time Bazar,115,73.0,148,,
25/08/2022,Time Bazar,566,71.0,399,,
26/08/2022,Time Bazar,588,14.0,257,,
27/08/2022,Time Bazar,345,21.0,470,,
29/08/2022,Time Bazar,680,47.0,458,,
30/08/2022,Time Bazar,779,36.0,178,,
01/09/2022,Time Bazar,139,38.0,134,,
02/09/2022,Time Bazar,679,21.0,399,,
03/09/2022,Time Bazar,135,95.0,357,,
05/09/2022,Time Bazar,169,66.0,178,,
06/09/2022,Time Bazar,225,90.0,668,,
07/09/2022,Time Bazar,478,94.0,158,,
08/09/2022,Time Bazar,288,88.0,279,,
09/09/2022,Time Bazar,366,50.0,668,,
10/09/2022,Time Bazar,146,15.0,230,,
12/09/2022,Time Bazar,570,25.0,339,,
13/09/2022,Time Bazar,359,72.0,390,,
14/09/2022,Time Bazar,249,59.0,225,,
15/09/2022,Time Bazar,137,19.0,478,,
16/09/2022,Time Bazar,900,93.0,580,,
17/09/2022,Time Bazar,578,9.0,234,,
19/09/2022,Time Bazar,236,15.0,140,,
20/09/2022,Time Bazar,488,0.0,118,,
21/09/2022,Time Bazar,258,57.0,340,,
22/09/2022,Time Bazar,456,50.0,136,,
23/09/2022,Time Bazar,249,57.0,250,,
24/09/2022,Time Bazar,229,36.0,880,,
26/09/2022,Time Bazar,169,63.0,229,,
27/09/2022,Time Bazar,145,6.0,349,,
28/09/2022,Time Bazar,379,97.0,566,,
29/09/2022,Time Bazar,157,38.0,477,,
30/09/2022,Time Bazar,128,17.0,223,,
01/10/2022,Time Bazar,189,86.0,358,,
03/10/2022,Time Bazar,249,59.0,199,,
04/10/2022,Time Bazar,368,78.0,468,,
05/10/2022,Time Bazar,160,73.0,689,,
