Market,Date,Open,Jodi,Close,Patti,Posted,day_of_week,is_weekend,open_sum,close_sum,mirror_open,mirror_close,reverse_jodi,is_holiday,prev_jodi_distance
Time Bazar,01/01/2025,136,8,459,,,Wednesday,False,10.0,18.0,863,540,80,False,5.0
Rajdhani Day,01/02/2018,670,30,370,,,Thursday,False,13.0,10.0,329,629,3,False,22.0
Rajdhani Day,01/02/2019,139,36,367,,,Friday,False,13.0,16.0,860,632,63,False,6.0
Rajdhani Day,01/02/2020,589,28,116,,,Saturday,True,22.0,8.0,410,883,82,False,8.0
Kalyan,01/02/2021,247,31,245,,,Monday,False,13.0,11.0,752,754,13,False,2.0
Rajdhani Day,01/02/2021,790,69,234,,,Monday,False,16.0,9.0,209,765,96,False,41.0
Rajdhani Night,01/02/2021,360,91,236,,,Monday,False,9.0,11.0,639,763,19,False,31.0
Time Bazar,01/02/2021,159,55,258,,,Monday,False,15.0,15.0,840,741,55,False,47.0
Kalyan,01/02/2022,689,39,360,,,Tuesday,False,23.0,9.0,310,639,93,False,8.0
Main Bazar,01/02/2022,267,50,136,,,Tuesday,False,15.0,10.0,732,863,5,False,30.0
Milan Night,01/02/2022,599,34,149,,,Tuesday,False,23.0,14.0,400,850,43,False,64.0
Rajdhani Day,01/02/2022,359,77,458,,,Tuesday,False,17.0,17.0,640,541,77,False,8.0
Rajdhani Night,01/02/2022,126,94,400,,,Tuesday,False,9.0,4.0,873,599,49,False,3.0
Time Bazar,01/02/2022,566,78,279,,,Tuesday,False,17.0,18.0,433,720,87,False,23.0
Kalyan,01/02/2023,130,48,378,,,Wednesday,False,4.0,18.0,869,621,84,False,9.0
Main Bazar,01/02/2023,125,89,379,,,Wednesday,False,8.0,19.0,874,620,98,False,39.0
Milan Day,01/02/2023,590,49,469,,,Wednesday,False,14.0,19.0,409,530,94,False,4.0
Milan Night,01/02/2023,799,53,599,,,Wednesday,False,25.0,23.0,200,400,35,False,19.0
Rajdhani Day,01/02/2023,579,11,470,,,Wednesday,False,21.0,11.0,420,529,11,False,66.0
Rajdhani Night,01/02/2023,239,40,280,,,Wednesday,False,14.0,10.0,760,719,4,False,54.0
Time Bazar,01/02/2023,189,83,157,,,Wednesday,False,18.0,13.0,810,842,38,False,5.0
Kalyan,01/02/2024,167,45,690,,,Thursday,False,14.0,15.0,832,309,54,False,3.0
Main Bazar,01/02/2024,125,87,359,,,Thursday,False,8.0,17.0,874,640,78,False,2.0
Milan Day,01/02/2024,237,26,330,,,Thursday,False,12.0,6.0,762,669,62,False,23.0
Milan Night,01/02/2024,135,99,478,,,Thursday,False,9.0,19.0,864,521,99,False,46.0
Rajdhani Day,01/02/2024,457,60,479,,,Thursday,False,16.0,20.0,542,520,6,False,49.0
Rajdhani Night,01/02/2024,270,90,479,,,Thursday,False,9.0,20.0,729,520,9,False,50.0
Time Bazar,01/02/2024,134,86,169,,,Thursday,False,8.0,16.0,865,830,68,False,3.0
Kalyan,01/02/2025,270,94,167,,,Saturday,True,9.0,14.0,729,832,49,False,49.0
Milan Day,01/02/2025,180,91,560,,,Saturday,True,9.0,11.0,819,439,19,False,65.0
Milan Night,01/02/2025,467,73,346,,,Saturday,True,17.0,13.0,532,653,37,False,26.0
Rajdhani Day,01/02/2025,129,25,690,,,Saturday,True,12.0,15.0,870,309,52,False,35.0
Time Bazar,01/02/2025,477,89,180,,,Saturday,True,18.0,9.0,522,819,98,False,3.0
Rajdhani Day,01/03/2018,689,35,230,,,Thursday,False,23.0,5.0,310,769,53,False,10.0
Rajdhani Day,01/03/2019,390,20,136,,,Friday,False,12.0,10.0,609,863,2,False,15.0
Kalyan,01/03/2021,356,45,348,,,Monday,False,14.0,15.0,643,651,54,False,49.0
Rajdhani Day,01/03/2021,678,10,136,,,Monday,False,21.0,10.0,321,863,1,False,10.0
Rajdhani Night,01/03/2021,457,61,470,,,Monday,False,16.0,11.0,542,529,16,False,29.0
Time Bazar,01/03/2021,468,89,126,,,Monday,False,18.0,9.0,531,873,98,False,0.0
Kalyan,01/03/2022,455,43,689,,,Tuesday,False,14.0,23.0,544,310,34,False,2.0
Main Bazar,01/03/2022,790,69,180,,,Tuesday,False,16.0,9.0,209,819,96,False,18.0
Milan Night,01/03/2022,129,23,445,,,Tuesday,False,12.0,13.0,870,554,32,False,50.0
Rajdhani Day,01/03/2022,455,42,390,,,Tuesday,False,14.0,12.0,544,609,24,False,32.0
Rajdhani Night,01/03/2022,790,61,128,,,Tuesday,False,16.0,11.0,209,871,16,False,0.0
Time Bazar,01/03/2022,135,94,356,,,Tuesday,False,9.0,14.0,864,643,49,False,5.0
Kalyan,01/03/2023,567,85,366,,,Wednesday,False,18.0,15.0,432,633,58,False,42.0
Main Bazar,01/03/2023,590,45,267,,,Wednesday,False,14.0,15.0,409,732,54,False,24.0
Milan Day,01/03/2023,335,17,133,,,Wednesday,False,11.0,7.0,664,866,71,False,74.0
Milan Night,01/03/2023,779,34,130,,,Wednesday,False,23.0,4.0,220,869,43,False,11.0
Rajdhani Day,01/03/2023,123,64,158,,,Wednesday,False,6.0,14.0,876,841,46,False,22.0
Rajdhani Night,01/03/2023,147,23,229,,,Wednesday,False,12.0,13.0,852,770,32,False,38.0
Time Bazar,01/03/2023,246,24,158,,,Wednesday,False,12.0,14.0,753,841,42,False,70.0
Kalyan,01/03/2024,699,47,340,,,Friday,False,24.0,7.0,300,659,74,False,38.0
Main Bazar,01/03/2024,456,55,168,,,Friday,False,15.0,15.0,543,831,55,False,10.0
Milan Day,01/03/2024,345,27,368,,,Friday,False,12.0,17.0,654,631,72,False,10.0
Milan Night,01/03/2024,129,27,250,,,Friday,False,12.0,7.0,870,749,72,False,7.0
Rajdhani Day,01/03/2024,360,96,178,,,Friday,False,9.0,16.0,639,821,69,False,32.0
Rajdhani Night,01/03/2024,469,91,137,,,Friday,False,19.0,11.0,530,862,19,False,68.0
Time Bazar,01/03/2024,170,84,149,,,Friday,False,8.0,14.0,829,850,48,False,60.0
Kalyan,01/03/2025,690,53,120,,,Saturday,True,15.0,3.0,309,879,35,False,6.0
Milan Day,01/03/2025,340,78,260,,,Saturday,True,7.0,8.0,659,739,87,False,51.0
Milan Night,01/03/2025,118,3,238,,,Saturday,True,10.0,13.0,881,761,30,False,24.0
Rajdhani Day,01/03/2025,380,12,246,,,Saturday,True,11.0,12.0,619,753,21,False,84.0
Time Bazar,01/03/2025,290,10,488,,,Saturday,True,11.0,20.0,709,511,1,False,74.0
Rajdhani Day,01/04/2019,235,4,158,,,Monday,False,10.0,14.0,764,841,40,False,8.0
Rajdhani Day,01/04/2020,256,30,127,,,Wednesday,False,13.0,10.0,743,872,3,False,26.0
Kalyan,01/04/2021,169,68,189,,,Thursday,False,16.0,18.0,830,810,86,False,15.0
Rajdhani Day,01/04/2021,800,86,330,,,Thursday,False,8.0,6.0,199,669,68,False,56.0
Rajdhani Night,01/04/2021,135,91,380,,,Thursday,False,9.0,11.0,864,619,19,False,0.0
Time Bazar,01/04/2021,456,55,348,,,Thursday,False,15.0,15.0,543,651,55,False,45.0
Kalyan,01/04/2022,478,93,599,,,Friday,False,19.0,23.0,521,400,39,False,25.0
Main Bazar,01/04/2022,789,42,200,,,Friday,False,24.0,2.0,210,799,24,False,13.0
Milan Night,01/04/2022,448,62,570,,,Friday,False,16.0,12.0,551,429,26,False,59.0
Rajdhani Day,01/04/2022,670,32,156,,,Friday,False,13.0,12.0,329,843,23,False,54.0
Rajdhani Night,01/04/2022,145,1,245,,,Friday,False,10.0,11.0,854,754,10,False,90.0
Time Bazar,01/04/2022,599,36,114,,,Friday,False,23.0,6.0,400,885,63,False,19.0
Kalyan,01/04/2023,145,7,160,,,Saturday,True,10.0,7.0,854,839,70,False,86.0
Milan Day,01/04/2023,130,41,290,,,Saturday,True,4.0,11.0,869,709,14,False,37.0
Milan Night,01/04/2023,135,90,569,,,Saturday,True,9.0,20.0,864,430,9,False,28.0
Rajdhani Day,01/04/2023,669,14,356,,,Saturday,True,21.0,14.0,330,643,41,False,18.0
Time Bazar,01/04/2023,488,0,370,,,Saturday,True,20.0,10.0,511,629,0,False,36.0
Kalyan,01/04/2024,900,96,448,,,Monday,False,9.0,16.0,99,551,69,False,89.0
Main Bazar,01/04/2024,123,67,377,,,Monday,False,6.0,17.0,876,622,76,False,25.0
Milan Day,01/04/2024,489,10,244,,,Monday,False,21.0,10.0,510,755,1,False,31.0
Milan Night,01/04/2024,169,67,269,,,Monday,False,16.0,17.0,830,730,76,False,23.0
Rajdhani Day,01/04/2024,149,41,245,,,Monday,False,14.0,11.0,850,754,14,False,27.0
Rajdhani Night,01/04/2024,347,48,350,,,Monday,False,14.0,8.0,652,649,84,False,47.0
Time Bazar,01/04/2024,480,24,239,,,Monday,False,12.0,14.0,519,760,42,False,24.0
Kalyan,01/04/2025,460,4,356,,,Tuesday,False,10.0,14.0,539,643,40,False,92.0
Main Bazar,01/04/2025,190,7,449,,,Tuesday,False,10.0,17.0,809,550,70,False,60.0
Milan Day,01/04/2025,670,36,367,,,Tuesday,False,13.0,16.0,329,632,63,False,26.0
Milan Night,01/04/2025,690,51,137,,,Tuesday,False,15.0,11.0,309,862,15,False,16.0
Rajdhani Day,01/04/2025,345,27,890,,,Tuesday,False,12.0,17.0,654,109,72,False,14.0
Rajdhani Night,01/04/2025,467,70,280,,,Tuesday,False,17.0,10.0,532,719,7,False,22.0
Time Bazar,01/04/2025,147,28,468,,,Tuesday,False,12.0,18.0,852,531,82,False,4.0
Rajdhani Day,01/05/2018,380,19,270,,,Tuesday,False,11.0,9.0,619,729,91,False,8.0
Rajdhani Day,01/05/2019,137,11,236,,,Wednesday,False,11.0,11.0,862,763,11,False,8.0
Rajdhani Day,01/05/2020,200,28,189,,,Friday,False,2.0,18.0,799,810,82,False,17.0
Kalyan,01/05/2021,137,15,456,,,Saturday,True,11.0,15.0,862,543,51,False,11.0
Rajdhani Day,01/05/2021,244,9,667,,,Saturday,True,10.0,19.0,755,332,90,False,19.0
Time Bazar,01/05/2021,127,2,336,,,Saturday,True,10.0,12.0,872,663,20,False,26.0
Kalyan,01/05/2023,288,88,170,,,Monday,False,18.0,8.0,711,829,88,False,73.0
Main Bazar,01/05/2023,249,58,378,,,Monday,False,15.0,18.0,750,621,85,False,51.0
Milan Day,01/05/2023,179,72,688,,,Monday,False,17.0,22.0,820,311,27,False,36.0
Milan Night,01/05/2023,124,72,147,,,Monday,False,7.0,12.0,875,852,27,False,21.0
Rajdhani Day,01/05/2023,224,80,460,,,Monday,False,8.0,10.0,775,539,8,False,71.0
Rajdhani Night,01/05/2023,339,51,678,,,Monday,False,15.0,21.0,660,321,15,False,19.0
Time Bazar,01/05/2023,250,73,148,,,Monday,False,7.0,13.0,749,851,37,False,71.0
Kalyan,01/05/2024,230,58,189,,,Wednesday,False,5.0,18.0,769,810,85,False,30.0
Main Bazar,01/05/2024,356,40,569,,,Wednesday,False,14.0,20.0,643,430,4,False,18.0
Milan Day,01/05/2024,469,95,357,,,Wednesday,False,19.0,15.0,530,642,59,False,23.0
Milan Night,01/05/2024,256,39,900,,,Wednesday,False,13.0,9.0,743,99,93,False,33.0
Rajdhani Day,01/05/2024,116,88,170,,,Wednesday,False,8.0,8.0,883,829,88,False,8.0
Rajdhani Night,01/05/2024,560,14,446,,,Wednesday,False,11.0,14.0,439,553,41,False,37.0
Time Bazar,01/05/2024,125,89,568,,,Wednesday,False,8.0,19.0,874,431,98,False,16.0
Kalyan,01/05/2025,150,69,180,,,Thursday,False,6.0,9.0,849,819,96,False,11.0
Main Bazar,01/05/2025,380,13,256,,,Thursday,False,11.0,13.0,619,743,31,False,27.0
Milan Day,01/05/2025,389,3,238,,,Thursday,False,20.0,13.0,610,761,30,False,92.0
Milan Night,01/05/2025,159,51,678,,,Thursday,False,15.0,21.0,840,321,15,False,12.0
Rajdhani Day,01/05/2025,470,15,690,,,Thursday,False,11.0,15.0,529,309,51,False,73.0
Rajdhani Night,01/05/2025,147,22,110,,,Thursday,False,12.0,2.0,852,889,22,False,8.0
Time Bazar,01/05/2025,800,82,156,,,Thursday,False,8.0,12.0,199,843,28,False,7.0
Rajdhani Day,01/06/2018,360,92,570,,,Friday,False,9.0,12.0,639,429,29,False,77.0
Rajdhani Day,01/06/2019,356,43,120,,,Saturday,True,14.0,3.0,643,879,34,False,49.0
Rajdhani Day,01/06/2020,149,40,145,,,Monday,False,14.0,10.0,850,854,4,False,3.0
Kalyan,01/06/2021,338,44,266,,,Tuesday,False,14.0,14.0,661,733,44,False,25.0
Rajdhani Day,01/06/2021,280,1,128,,,Tuesday,False,10.0,11.0,719,871,10,False,39.0
Rajdhani Night,01/06/2021,248,44,167,,,Tuesday,False,14.0,14.0,751,832,44,False,22.0
Time Bazar,01/06/2021,780,51,245,,,Tuesday,False,15.0,11.0,219,754,15,False,31.0
Kalyan,01/06/2022,458,70,127,,,Wednesday,False,17.0,10.0,541,872,7,False,26.0
Main Bazar,01/06/2022,358,64,680,,,Wednesday,False,16.0,14.0,641,319,46,False,51.0
Milan Night,01/06/2022,568,96,240,,,Wednesday,False,19.0,6.0,431,759,69,False,45.0
Rajdhani Day,01/06/2022,600,60,334,,,Wednesday,False,6.0,10.0,399,665,6,False,59.0
Rajdhani Night,01/06/2022,147,25,690,,,Wednesday,False,12.0,15.0,852,309,52,False,19.0
Time Bazar,01/06/2022,270,91,146,,,Wednesday,False,9.0,11.0,729,853,19,False,40.0
Kalyan,01/06/2023,459,86,240,,,Thursday,False,18.0,6.0,540,759,68,False,16.0
Main Bazar,01/06/2023,180,98,116,,,Thursday,False,9.0,8.0,819,883,89,False,34.0
Milan Day,01/06/2023,566,76,358,,,Thursday,False,17.0,16.0,433,641,67,False,73.0
Milan Night,01/06/2023,770,49,379,,,Thursday,False,14.0,19.0,229,620,94,False,47.0
Rajdhani Day,01/06/2023,390,28,189,,,Thursday,False,12.0,18.0,609,810,82,False,32.0
Rajdhani Night,01/06/2023,389,0,479,,,Thursday,False,20.0,20.0,610,520,0,False,25.0
Time Bazar,01/06/2023,368,77,250,,,Thursday,False,17.0,7.0,631,749,77,False,14.0
Kalyan,01/06/2024,157,34,680,,,Saturday,True,13.0,14.0,842,319,43,False,52.0
Milan Day,01/06/2024,577,98,440,,,Saturday,True,19.0,8.0,422,559,89,False,22.0
Milan Night,01/06/2024,230,59,568,,,Saturday,True,5.0,19.0,769,431,95,False,10.0
Rajdhani Day,01/06/2024,122,54,347,,,Saturday,True,5.0,14.0,877,652,45,False,26.0
Time Bazar,01/06/2024,179,73,139,,,Saturday,True,17.0,13.0,820,860,37,False,4.0
Rajdhani Day,01/07/2019,233,81,128,,,Monday,False,8.0,11.0,766,871,18,False,27.0
Rajdhani Day,01/07/2020,227,12,570,,,Wednesday,False,11.0,12.0,772,429,21,False,69.0
Kalyan,01/07/2021,280,7,700,,,Thursday,False,10.0,7.0,719,299,70,False,27.0
Rajdhani Day,01/07/2021,890,78,125,,,Thursday,False,17.0,8.0,109,874,87,False,66.0
Rajdhani Night,01/07/2021,340,70,280,,,Thursday,False,7.0,10.0,659,719,7,False,70.0
Time Bazar,01/07/2021,120,39,180,,,Thursday,False,3.0,9.0,879,819,93,False,34.0
Kalyan,01/07/2022,120,39,126,,,Friday,False,3.0,9.0,879,873,93,False,32.0
Main Bazar,01/07/2022,278,79,388,,,Friday,False,17.0,19.0,721,611,97,False,19.0
Milan Night,01/07/2022,378,85,690,,,Friday,False,18.0,15.0,621,309,58,False,26.0
Rajdhani Day,01/07/2022,299,4,239,,,Friday,False,20.0,14.0,700,760,40,False,74.0
Rajdhani Night,01/07/2022,457,69,360,,,Friday,False,16.0,9.0,542,639,96,False,1.0
Time Bazar,01/07/2022,778,25,339,,,Friday,False,22.0,15.0,221,660,52,False,14.0
Kalyan,01/07/2023,580,31,128,,,Saturday,True,13.0,11.0,419,871,13,False,8.0
Milan Day,01/07/2023,124,73,120,,,Saturday,True,7.0,3.0,875,879,37,False,25.0
Milan Night,01/07/2023,345,27,458,,,Saturday,True,12.0,17.0,654,541,72,False,58.0
Rajdhani Day,01/07/2023,358,67,368,,,Saturday,True,16.0,17.0,641,631,76,False,63.0
Time Bazar,01/07/2023,267,57,340,,,Saturday,True,15.0,7.0,732,659,75,False,32.0
Kalyan,01/07/2024,467,77,458,,,Monday,False,17.0,17.0,532,541,77,False,46.0
Main Bazar,01/07/2024,148,32,200,,,Monday,False,13.0,2.0,851,799,23,False,47.0
Milan Day,01/07/2024,115,71,399,,,Monday,False,7.0,21.0,884,600,17,False,2.0
Milan Night,01/07/2024,688,25,230,,,Monday,False,22.0,5.0,311,769,52,False,2.0
Rajdhani Day,01/07/2024,489,19,469,,,Monday,False,21.0,19.0,510,530,91,False,48.0
Rajdhani Night,01/07/2024,256,37,188,,,Monday,False,13.0,17.0,743,811,73,False,32.0
Time Bazar,01/07/2024,278,71,489,,,Monday,False,17.0,21.0,721,510,17,False,14.0
Rajdhani Day,01/08/2018,679,23,689,,,Wednesday,False,22.0,23.0,320,310,32,False,4.0
Rajdhani Day,01/08/2019,290,14,149,,,Thursday,False,11.0,14.0,709,850,41,False,9.0
Rajdhani Day,01/08/2020,240,67,269,,,Saturday,True,6.0,17.0,759,730,76,False,53.0
Time Bazar,01/08/2021,470,18,990,,,Sunday,True,11.0,18.0,529,9,81,False,53.0
Kalyan,01/08/2022,357,54,112,,,Monday,False,15.0,4.0,642,887,45,False,23.0
Main Bazar,01/08/2022,267,57,700,,,Monday,False,15.0,7.0,732,299,75,False,25.0
Milan Night,01/08/2022,178,67,278,,,Monday,False,16.0,17.0,821,721,76,False,42.0
Rajdhani Day,01/08/2022,569,5,168,,,Monday,False,20.0,15.0,430,831,50,False,62.0
Rajdhani Night,01/08/2022,130,46,349,,,Monday,False,4.0,16.0,869,650,64,False,9.0
Time Bazar,01/08/2022,145,8,170,,,Monday,False,10.0,8.0,854,829,80,False,10.0
Kalyan,01/08/2023,300,39,388,,,Tuesday,False,3.0,19.0,699,611,93,False,15.0
Main Bazar,01/08/2023,160,77,458,,,Tuesday,False,7.0,17.0,839,541,77,False,20.0
Milan Day,01/08/2023,123,63,238,,,Tuesday,False,6.0,13.0,876,761,36,False,8.0
Milan Night,01/08/2023,128,17,133,,,Tuesday,False,11.0,7.0,871,866,71,False,50.0
Rajdhani Day,01/08/2023,580,36,259,,,Tuesday,False,13.0,16.0,419,740,63,False,31.0
Rajdhani Night,01/08/2023,279,81,245,,,Tuesday,False,18.0,11.0,720,754,18,False,35.0
Time Bazar,01/08/2023,400,42,129,,,Tuesday,False,4.0,12.0,599,870,24,False,34.0
Kalyan,01/08/2024,489,13,247,,,Thursday,False,21.0,13.0,510,752,31,False,26.0
Main Bazar,01/08/2024,147,23,139,,,Thursday,False,12.0,13.0,852,860,32,False,54.0
Milan Day,01/08/2024,268,68,990,,,Thursday,False,16.0,18.0,731,9,86,False,5.0
Milan Night,01/08/2024,120,39,469,,,Thursday,False,3.0,19.0,879,530,93,False,22.0
Rajdhani Day,01/08/2024,770,44,149,,,Thursday,False,14.0,14.0,229,850,44,False,8.0
Rajdhani Night,01/08/2024,236,12,246,,,Thursday,False,11.0,12.0,763,753,21,False,69.0
Time Bazar,01/08/2024,226,0,280,,,Thursday,False,10.0,10.0,773,719,0,False,42.0
Rajdhani Day,01/09/2018,667,93,157,,,Saturday,True,19.0,13.0,332,842,39,False,49.0
Rajdhani Day,01/09/2020,459,89,478,,,Tuesday,False,18.0,19.0,540,521,98,False,4.0
Kalyan,01/09/2021,669,15,249,,,Wednesday,False,21.0,15.0,330,750,51,False,2.0
Rajdhani Day,01/09/2021,270,95,780,,,Wednesday,False,9.0,15.0,729,219,59,False,6.0
Rajdhani Night,01/09/2021,144,94,167,,,Wednesday,False,9.0,14.0,855,832,49,False,82.0
Time Bazar,01/09/2021,459,82,679,,,Wednesday,False,18.0,22.0,540,320,28,False,82.0
Kalyan,01/09/2022,470,12,147,,,Thursday,False,11.0,12.0,529,852,21,False,3.0
Main Bazar,01/09/2022,348,50,127,,,Thursday,False,15.0,10.0,651,872,5,False,27.0
Milan Day,01/09/2022,566,76,448,,,Thursday,False,17.0,16.0,433,551,67,False,8.0
Milan Night,01/09/2022,460,0,578,,,Thursday,False,10.0,20.0,539,421,0,False,39.0
Rajdhani Day,01/09/2022,249,54,112,,,Thursday,False,15.0,4.0,750,887,45,False,41.0
Rajdhani Night,01/09/2022,346,31,579,,,Thursday,False,13.0,21.0,653,420,13,False,63.0
Time Bazar,01/09/2022,139,38,134,,,Thursday,False,13.0,8.0,860,865,83,False,44.0
Kalyan,01/09/2023,559,99,289,,,Friday,False,19.0,19.0,440,710,99,False,87.0
Main Bazar,01/09/2023,400,47,250,,,Friday,False,4.0,7.0,599,749,74,False,3.0
Milan Day,01/09/2023,113,51,128,,,Friday,False,5.0,11.0,886,871,15,False,25.0
Milan Night,01/09/2023,689,36,367,,,Friday,False,23.0,16.0,310,632,63,False,36.0
Rajdhani Day,01/09/2023,159,57,458,,,Friday,False,15.0,17.0,840,541,75,False,3.0
Rajdhani Night,01/09/2023,299,4,248,,,Friday,False,20.0,14.0,700,751,40,False,27.0
Time Bazar,01/09/2023,139,31,489,,,Friday,False,13.0,21.0,860,510,13,False,7.0
Rajdhani Day,01/10/2018,889,56,259,,,Monday,False,25.0,16.0,110,740,65,False,1.0
Rajdhani Day,01/10/2019,227,15,780,,,Tuesday,False,11.0,15.0,772,219,51,False,41.0
Rajdhani Day,01/10/2020,489,15,267,,,Thursday,False,21.0,15.0,510,732,51,False,0.0
Kalyan,01/10/2021,146,18,288,,,Friday,False,11.0,18.0,853,711,81,False,81.0
Rajdhani Day,01/10/2021,589,24,248,,,Friday,False,22.0,14.0,410,751,42,False,9.0
Rajdhani Night,01/10/2021,128,18,170,,,Friday,False,11.0,8.0,871,829,81,False,14.0
Time Bazar,01/10/2021,249,58,134,,,Friday,False,15.0,8.0,750,865,85,False,27.0
Kalyan,01/10/2022,340,71,579,,,Saturday,True,7.0,21.0,659,420,17,False,53.0
Milan Day,01/10/2022,134,82,679,,,Saturday,True,8.0,22.0,865,320,28,False,31.0
Milan Night,01/10/2022,200,21,137,,,Saturday,True,2.0,11.0,799,862,12,False,15.0
Rajdhani Day,01/10/2022,570,24,356,,,Saturday,True,12.0,14.0,429,643,42,False,0.0
Time Bazar,01/10/2022,189,86,358,,,Saturday,True,18.0,16.0,810,641,68,False,28.0
Kalyan,01/10/2024,330,64,699,,,Tuesday,False,6.0,24.0,669,300,46,False,7.0
Main Bazar,01/10/2024,400,49,289,,,Tuesday,False,4.0,19.0,599,710,94,False,2.0
Milan Day,01/10/2024,570,27,188,,,Tuesday,False,12.0,17.0,429,811,72,False,55.0
Milan Night,01/10/2024,156,23,580,,,Tuesday,False,12.0,13.0,843,419,32,False,2.0
Rajdhani Day,01/10/2024,136,3,580,,,Tuesday,False,10.0,13.0,863,419,30,False,21.0
Rajdhani Night,01/10/2024,146,13,247,,,Tuesday,False,11.0,13.0,853,752,31,False,5.0
Time Bazar,01/10/2024,138,27,250,,,Tuesday,False,12.0,7.0,861,749,72,False,59.0
Rajdhani Day,01/11/2018,129,21,399,,,Thursday,False,12.0,21.0,870,600,12,False,18.0
Kalyan,01/11/2022,470,10,190,,,Tuesday,False,11.0,10.0,529,809,1,False,54.0
Main Bazar,01/11/2022,688,20,136,,,Tuesday,False,22.0,10.0,311,863,2,False,29.0
Milan Day,01/11/2022,660,22,589,,,Tuesday,False,12.0,22.0,339,410,22,False,5.0
Milan Night,01/11/2022,179,78,125,,,Tuesday,False,17.0,8.0,820,874,87,False,55.0
Rajdhani Day,01/11/2022,780,58,260,,,Tuesday,False,15.0,8.0,219,739,85,False,37.0
Rajdhani Night,01/11/2022,569,0,460,,,Tuesday,False,20.0,10.0,430,539,0,False,13.0
Time Bazar,01/11/2022,799,52,589,,,Tuesday,False,25.0,22.0,200,410,25,False,25.0
Kalyan,01/11/2023,668,8,288,,,Wednesday,False,20.0,18.0,331,711,80,False,2.0
Main Bazar,01/11/2023,558,87,179,,,Wednesday,False,18.0,17.0,441,820,78,False,67.0
Milan Day,01/11/2023,336,29,117,,,Wednesday,False,12.0,9.0,663,882,92,False,7.0
Milan Night,01/11/2023,889,56,240,,,Wednesday,False,25.0,6.0,110,759,65,False,22.0
Rajdhani Day,01/11/2023,266,41,236,,,Wednesday,False,14.0,11.0,733,763,14,False,17.0
Rajdhani Night,01/11/2023,170,84,158,,,Wednesday,False,8.0,14.0,829,841,48,False,84.0
Time Bazar,01/11/2023,235,2,345,,,Wednesday,False,10.0,12.0,764,654,20,False,50.0
Rajdhani Day,01/12/2018,479,4,680,,,Saturday,True,20.0,14.0,520,319,40,False,37.0
Rajdhani Day,01/12/2020,690,50,370,,,Tuesday,False,15.0,10.0,309,629,5,False,46.0
Kalyan,01/12/2021,380,11,290,,,Wednesday,False,11.0,11.0,619,709,11,False,3.0
Rajdhani Day,01/12/2021,567,83,229,,,Wednesday,False,18.0,13.0,432,770,38,False,33.0
Rajdhani Night,01/12/2021,249,57,124,,,Wednesday,False,15.0,7.0,750,875,75,False,27.0
Time Bazar,01/12/2021,370,1,290,,,Wednesday,False,10.0,11.0,629,709,10,False,1.0
Kalyan,01/12/2022,300,38,170,,,Thursday,False,3.0,8.0,699,829,83,False,27.0
Main Bazar,01/12/2022,239,41,560,,,Thursday,False,14.0,11.0,760,439,14,False,46.0
